"","ligand","receptor","cell_from_mean_exprs","cell_from","cell_to_mean_exprs","cell_to","comm_type"
"339","CCL3","CCR4",1185.625,8,13.4843049327354,5,"cytokine"
"301","CCL3","CCR1",226.668161434978,5,69.9528795811518,4,"cytokine"
"442","CCL3","CCR5",77.8631284916201,1,202.815476190476,7,"cytokine"
"511","CCL4","CCR1",1083.89664804469,1,14.5677083333333,2,"cytokine"
"959","CXCL13","CXCR5",1872.32738095238,7,8.41935483870968,3,"cytokine"
"1115","IL16","CCR5",309.875,7,50.84375,2,"cytokine"
"1338","IL2","IL2RG",8.47533632286996,5,1843.375,6,"cytokine"
"648","CCL5","CCR1",1845.75139664804,1,8.41620111731844,1,"cytokine"
"1182","IL16","KCNA3",297.63125,6,52.1428571428571,7,"cytokine"
"317","CCL3","CCR1",219.02688172043,3,69.9528795811518,4,"cytokine"
"343","CCL3","CCR4",563.077380952381,7,27.1845238095238,8,"cytokine"
"1153","IL16","CCR5",171.125,2,89.2146596858639,4,"cytokine"
"414","CCL3","CCR5",226.668161434978,5,67.3387096774194,3,"cytokine"
"1200","IL16","KCNA3",238.193717277487,4,63.9058295964126,5,"cytokine"
"210","CCL3L3","CCR5",74.7261904761905,8,202.815476190476,7,"cytokine"
"1123","IL16","CCR5",297.63125,6,50.84375,2,"cytokine"
"1212","IL16","KCNA3",201.220430107527,3,74.6843575418994,1,"cytokine"
"1179","IL16","KCNA3",309.875,7,48.3489583333333,2,"cytokine"
"1106","IL16","CCR5",222.220238095238,8,67.3387096774194,3,"cytokine"
"1031","IL10","SIRPG",120.5875,6,122.552083333333,2,"cytokine"
"1190","IL16","KCNA3",282.973094170404,5,52.1428571428571,7,"cytokine"
"430","CCL3","CCR5",219.02688172043,3,67.3387096774194,3,"cytokine"
"1012","IL10","IL10RB",120.5875,6,121.349775784753,5,"cytokine"
"479","CCL4","CCR1",1004.43946188341,5,14.5677083333333,2,"cytokine"
"695","CCL5","CCR4",1845.75139664804,1,7.87096774193548,3,"cytokine"
"581","CCL4","CCR8",1396.84816753927,4,10.3821989528796,4,"cytokine"
"1187","IL16","KCNA3",297.63125,6,48.3489583333333,2,"cytokine"
"1131","IL16","CCR5",282.973094170404,5,50.84375,2,"cytokine"
"1202","IL16","KCNA3",238.193717277487,4,60.2096774193548,3,"cytokine"
"1177","IL16","KCNA3",309.875,7,46.1989528795811,4,"cytokine"
"1168","IL16","KCNA3",222.220238095238,8,63.9058295964126,5,"cytokine"
"1013","IL10","IL10RB",120.5875,6,116.979057591623,4,"cytokine"
"1336","IL2","IL2RG",8.47533632286996,5,1663.55357142857,8,"cytokine"
"1086","IL15","IL2RG",7.07329842931937,4,1971.85119047619,7,"cytokine"
"324","CCL3","CCR1",147.65625,2,93.8744394618834,5,"cytokine"
"1185","IL16","KCNA3",297.63125,6,46.1989528795811,4,"cytokine"
"1315","IL2","CD53",8.47533632286996,5,1616.42857142857,7,"cytokine"
"1195","IL16","KCNA3",282.973094170404,5,48.3489583333333,2,"cytokine"
"146","CCL3L1","CCR5",67.1607142857143,8,202.815476190476,7,"cytokine"
"1146","IL16","CCR5",201.220430107527,3,67.3387096774194,3,"cytokine"
"583","CCL4","CCR8",1297.66145833333,2,10.3821989528796,4,"cytokine"
"1170","IL16","KCNA3",222.220238095238,8,60.2096774193548,3,"cytokine"
"286","CCL3","CCR1",563.077380952381,7,23.7311827956989,3,"cytokine"
"423","CCL3","CCR5",259.937172774869,4,50.84375,2,"cytokine"
"217","CCL3L3","CCR5",79.4345238095238,7,165.952380952381,8,"cytokine"
"437","CCL3","CCR5",147.65625,2,89.2146596858639,4,"cytokine"
"340","CCL3","CCR4",1185.625,8,11.0994764397906,4,"cytokine"
"1339","IL2","IL2RG",8.47533632286996,5,1547.78475336323,5,"cytokine"
"408","CCL3","CCR5",450.21875,6,29.1368715083799,1,"cytokine"
"219","CCL3L3","CCR5",79.4345238095238,7,164.8125,6,"cytokine"
"1193","IL16","KCNA3",282.973094170404,5,46.1989528795811,4,"cytokine"
"496","CCL4","CCR1",1550.86559139785,3,8.41620111731844,1,"cytokine"
"1087","IL15","IL2RG",7.07329842931937,4,1843.375,6,"cytokine"
"441","CCL3","CCR5",77.8631284916201,1,165.952380952381,8,"cytokine"
"154","CCL3L1","CCR5",63.6607142857143,7,202.815476190476,7,"cytokine"
"958","CXCL13","CXCR5",1872.32738095238,7,6.87434554973822,4,"cytokine"
"1208","IL16","KCNA3",201.220430107527,3,63.9058295964126,5,"cytokine"
"443","CCL3","CCR5",77.8631284916201,1,164.8125,6,"cytokine"
"1014","IL10","IL10RB",120.5875,6,106.290322580645,3,"cytokine"
"1220","IL16","KCNA3",171.125,2,74.6843575418994,1,"cytokine"
"1160","IL16","CCR5",97.3491620111732,1,130.318385650224,5,"cytokine"
"1198","IL16","KCNA3",238.193717277487,4,52.1428571428571,7,"cytokine"
"209","CCL3L3","CCR5",74.7261904761905,8,165.952380952381,8,"cytokine"
"211","CCL3L3","CCR5",74.7261904761905,8,164.8125,6,"cytokine"
"349","CCL3","CCR4",450.21875,6,27.1845238095238,8,"cytokine"
"963","CXCL13","CXCR5",1447.1,6,8.41935483870968,3,"cytokine"
"1210","IL16","KCNA3",201.220430107527,3,60.2096774193548,3,"cytokine"
"1139","IL16","CCR5",238.193717277487,4,50.84375,2,"cytokine"
"331","CCL3","CCR1",77.8631284916201,1,154.0375,6,"cytokine"
"1085","IL15","IL2RG",7.07329842931937,4,1663.55357142857,8,"cytokine"
"488","CCL4","CCR1",1396.84816753927,4,8.41620111731844,1,"cytokine"
"965","CXCL13","CXCR5",916.959641255605,5,12.7982062780269,5,"cytokine"
"1166","IL16","KCNA3",222.220238095238,8,52.1428571428571,7,"cytokine"
"226","CCL3L3","CCR5",56.90625,6,202.815476190476,7,"cytokine"
"415","CCL3","CCR5",226.668161434978,5,50.84375,2,"cytokine"
