"","ligand","receptor","cell_from_mean_exprs","cell_from","cell_to_mean_exprs","cell_to","comm_type"
"3373","GPI","AMFR",302.238095238095,7,17.2541899441341,1,"other"
"6243","LRPAP1","LDLR",87.1369047619048,7,59.8333333333333,2,"other"
"7915","TNFSF10","TNFRSF10B",204.767857142857,8,25.45625,6,"other"
"5191","HLA-G","KLRC1",57.3333333333333,8,90.8869047619048,7,"other"
"2174","DUSP18","ITGB1",36.9506726457399,5,140.963541666667,2,"other"
"2756","GNAI2","ADCY7",95.8273809523809,8,54.3541666666667,2,"other"
"3371","GPI","AMFR",302.238095238095,7,17.2311827956989,3,"other"
"7161","PSEN1","NCSTN",82.2976190476191,7,63.2634408602151,3,"other"
"2163","DUSP18","ITGB1",31.0125,6,167.807174887892,5,"other"
"2785","GNAI2","ADCY7",51,4,101.865470852018,5,"other"
"7385","PTDSS1","JMJD6",39.3333333333333,3,131.994623655914,3,"other"
"6849","OSM","IL6ST",19.6771300448431,5,263.815476190476,7,"other"
"8112","TNF","TNFRSF1A",70.2765363128492,1,73.8630952380952,7,"other"
"2200","DUSP18","ITGB1",18.4581005586592,1,280.690476190476,8,"other"
"8296","UBA52","NOTCH1",135.113095238095,7,38.2857142857143,7,"other"
"3305","GNAS","PTGDR",442.553571428571,8,11.6858638743456,4,"other"
"5219","HLA-G","KLRC1",50.0224215246637,5,103.344086021505,3,"other"
"5767","ICAM2","ITGAL",10.9285714285714,8,472.761904761905,7,"other"
"2780","GNAI2","ADCY7",94.9910313901345,5,54.3541666666667,2,"other"
"5211","HLA-G","KLRC1",49.95625,6,103.344086021505,3,"other"
"442","ARF1","PLD2",483.394618834081,5,10.6666666666667,8,"other"
"8227","TNF","TRAF2",133.887096774194,3,38.4712041884817,4,"other"
"2028","DUSP18","ITGA1",18.4581005586592,1,278.79057591623,4,"other"
"1626","CALM3","SELL",56.2043010752688,3,91.525,6,"other"
"6631","MFNG","NOTCH1",134.339285714286,7,38.2857142857143,7,"other"
"6318","LRPAP1","SORL1",113.553571428571,8,45.2678571428571,7,"other"
"2164","DUSP18","ITGB1",31.0125,6,165.680628272251,4,"other"
"7684","SPON2","ITGB2",8.44972067039106,1,607.843049327354,5,"other"
"8474","UBA52","TGFBR2",51.1424581005587,1,100.304932735426,5,"other"
"233","ADAM17","ITGB1",30.252688172043,3,169.295698924731,3,"other"
"8475","UBA52","TGFBR2",51.1424581005587,1,100.031413612565,4,"other"
"6866","OSM","IL6ST",32.6666666666667,3,156.3,6,"other"
"5380","HSP90B1","TLR1",525.529147982063,5,9.70238095238095,7,"other"
"6496","LTA","TNFRSF1B",15.6233183856502,5,326.255605381166,5,"other"
"250","ADAM17","ITGB1",36.072625698324,1,140.963541666667,2,"other"
"6371","LRPAP1","SORL1",78.8697916666667,2,64.453125,2,"other"
