"","ligand","receptor","cell_from_mean_exprs","cell_from","cell_to_mean_exprs","cell_to","comm_type"
"614","CD86","CTLA4",10.1559139784946,3,162.494047619048,7,"checkpoint"
"486","CD80","CD28",42.3154761904762,8,38.9107142857143,7,"checkpoint"
"68","BTLA","CD79A",66.8571428571429,8,24.6053811659193,5,"checkpoint"
"95","BTLA","CD79A",18.6439790575916,4,87,6,"checkpoint"
"46","BTLA","CD247",6.47849462365591,3,250.150537634409,3,"checkpoint"
"564","CD80","CTLA4",42.3154761904762,8,38.2513966480447,1,"checkpoint"
"72","BTLA","CD79A",84.0178571428571,7,18.9464285714286,8,"checkpoint"
"55","BTLA","CD247",9.11458333333333,2,174.59375,2,"checkpoint"
"444","CD274","PDCD1",16.0625,6,98.9413407821229,1,"checkpoint"
"436","CD274","PDCD1",15.7916666666667,7,98.9413407821229,1,"checkpoint"
"513","CD86","CD28",57.9345238095238,8,26.9424083769633,4,"checkpoint"
"610","CD86","CTLA4",14.7847533632287,5,105.220430107527,3,"checkpoint"
"609","CD86","CTLA4",14.7847533632287,5,104.937172774869,4,"checkpoint"
"413","TNFSF4","TRAF2",16.768156424581,1,91.8928571428571,8,"checkpoint"
"608","CD86","CTLA4",14.7847533632287,5,104.085201793722,5,"checkpoint"
"532","CD86","CD28",19.65625,6,76.3351955307263,1,"checkpoint"
"146","BTLA","TNFRSF14",13.9282511210762,5,106.642857142857,7,"checkpoint"
"656","TNFRSF14","BTLA",106.642857142857,7,13.9282511210762,5,"checkpoint"
"613","CD86","CTLA4",10.1559139784946,3,144.202380952381,8,"checkpoint"
"56","BTLA","CD247",9.11458333333333,2,158.013966480447,1,"checkpoint"
"156","BTLA","TNFRSF14",18.6439790575916,4,77.2286995515695,5,"checkpoint"
"673","TNFRSF14","BTLA",77.2286995515695,5,18.6439790575916,4,"checkpoint"
"575","CD80","CTLA4",8.7375,6,164.2875,6,"checkpoint"
"574","CD80","CTLA4",8.7375,6,162.494047619048,7,"checkpoint"
"352","TNFSF4","TNFRSF4",165.488789237668,5,8.47120418848167,4,"checkpoint"
"776","TNFRSF4","TNFSF4",8.47120418848167,4,165.488789237668,5,"checkpoint"
"427","CD274","PDCD1",18.5,8,75.3177083333333,2,"checkpoint"
"411","TNFSF4","TRAF2",59.3697916666667,2,23.375,2,"checkpoint"
"485","CD80","CD28",42.3154761904762,8,32.5,8,"checkpoint"
"77","BTLA","CD79A",84.0178571428571,7,16.3548387096774,3,"checkpoint"
"494","CD80","CD28",35.2380952380952,7,38.9107142857143,7,"checkpoint"
"276","CD70","CD27",11.5625,2,117.555865921788,1,"checkpoint"
"572","CD80","CTLA4",35.2380952380952,7,38.2513966480447,1,"checkpoint"
"63","BTLA","CD247",7.69832402234637,1,174.59375,2,"checkpoint"
"153","BTLA","TNFRSF14",18.6439790575916,4,71.6130952380952,8,"checkpoint"
"649","TNFRSF14","BTLA",71.6130952380952,8,18.6439790575916,4,"checkpoint"
"283","CD70","CD27",7.13128491620112,1,184.645833333333,2,"checkpoint"
"772","LGALS9","HAVCR2",10.3128491620112,1,126.301675977654,1,"checkpoint"
"530","CD86","CD28",19.65625,6,65.3064516129032,3,"checkpoint"
"149","BTLA","TNFRSF14",13.9282511210762,5,91.8115183246073,4,"checkpoint"
"680","TNFRSF14","BTLA",91.8115183246073,4,13.9282511210762,5,"checkpoint"
"65","BTLA","CD79A",66.8571428571429,8,18.9464285714286,8,"checkpoint"
"465","CD274","PDCD1",6.44791666666667,2,196.439790575916,4,"checkpoint"
"159","BTLA","TNFRSF14",18.6439790575916,4,67.6354166666667,2,"checkpoint"
"697","TNFRSF14","BTLA",67.6354166666667,2,18.6439790575916,4,"checkpoint"
"573","CD80","CTLA4",8.7375,6,144.202380952381,8,"checkpoint"
"466","CD274","PDCD1",6.44791666666667,2,195.123655913978,3,"checkpoint"
"160","BTLA","TNFRSF14",18.6439790575916,4,66.2486033519553,1,"checkpoint"
"705","TNFRSF14","BTLA",66.2486033519553,1,18.6439790575916,4,"checkpoint"
"155","BTLA","TNFRSF14",18.6439790575916,4,66.08125,6,"checkpoint"
"665","TNFRSF14","BTLA",66.08125,6,18.6439790575916,4,"checkpoint"
"603","CD86","CTLA4",19.65625,6,62.3125,2,"checkpoint"
"64","BTLA","CD247",7.69832402234637,1,158.013966480447,1,"checkpoint"
"88","BTLA","CD79A",13.9282511210762,5,87,6,"checkpoint"
"443","CD274","PDCD1",16.0625,6,75.3177083333333,2,"checkpoint"
"528","CD86","CD28",19.65625,6,61.0627802690583,5,"checkpoint"
"435","CD274","PDCD1",15.7916666666667,7,75.3177083333333,2,"checkpoint"
"460","CD274","PDCD1",11.9623655913978,3,98.9413407821229,1,"checkpoint"
"412","TNFSF4","TRAF2",59.3697916666667,2,19.8715083798883,1,"checkpoint"
"493","CD80","CD28",35.2380952380952,7,32.5,8,"checkpoint"
"489","CD80","CD28",42.3154761904762,8,26.9424083769633,4,"checkpoint"
"476","CD274","PDCD1",11.5111731843575,1,98.9413407821229,1,"checkpoint"
"414","TNFSF4","TRAF2",16.768156424581,1,67.6369047619048,7,"checkpoint"
"47","BTLA","CD247",6.47849462365591,3,174.59375,2,"checkpoint"
"540","CD86","CD28",14.7847533632287,5,76.3351955307263,1,"checkpoint"
"70","BTLA","CD79A",66.8571428571429,8,16.3548387096774,3,"checkpoint"
"73","BTLA","CD79A",84.0178571428571,7,12.8630952380952,7,"checkpoint"
"148","BTLA","TNFRSF14",13.9282511210762,5,77.2286995515695,5,"checkpoint"
"672","TNFRSF14","BTLA",77.2286995515695,5,13.9282511210762,5,"checkpoint"
"618","CD86","CTLA4",10.1559139784946,3,105.220430107527,3,"checkpoint"
"617","CD86","CTLA4",10.1559139784946,3,104.937172774869,4,"checkpoint"
"616","CD86","CTLA4",10.1559139784946,3,104.085201793722,5,"checkpoint"
"527","CD86","CD28",19.65625,6,53.46875,6,"checkpoint"
"531","CD86","CD28",19.65625,6,52.546875,2,"checkpoint"
"48","BTLA","CD247",6.47849462365591,3,158.013966480447,1,"checkpoint"
"205","CD40LG","TRAF3",16.425,6,61.5833333333333,8,"checkpoint"
"145","BTLA","TNFRSF14",13.9282511210762,5,71.6130952380952,8,"checkpoint"
"648","TNFRSF14","BTLA",71.6130952380952,8,13.9282511210762,5,"checkpoint"
"207","CD40LG","TRAF3",16.425,6,59.89375,6,"checkpoint"
"170","BTLA","TNFRSF14",9.11458333333333,2,106.642857142857,7,"checkpoint"
"659","TNFRSF14","BTLA",106.642857142857,7,9.11458333333333,2,"checkpoint"
"538","CD86","CD28",14.7847533632287,5,65.3064516129032,3,"checkpoint"
"82","BTLA","CD79A",38.91875,6,24.6053811659193,5,"checkpoint"
"497","CD80","CD28",35.2380952380952,7,26.9424083769633,4,"checkpoint"
"206","CD40LG","TRAF3",16.425,6,57.625,7,"checkpoint"
"151","BTLA","TNFRSF14",13.9282511210762,5,67.6354166666667,2,"checkpoint"
"696","TNFRSF14","BTLA",67.6354166666667,2,13.9282511210762,5,"checkpoint"
"152","BTLA","TNFRSF14",13.9282511210762,5,66.2486033519553,1,"checkpoint"
"704","TNFRSF14","BTLA",66.2486033519553,1,13.9282511210762,5,"checkpoint"
"611","CD86","CTLA4",14.7847533632287,5,62.3125,2,"checkpoint"
"147","BTLA","TNFRSF14",13.9282511210762,5,66.08125,6,"checkpoint"
"664","TNFRSF14","BTLA",66.08125,6,13.9282511210762,5,"checkpoint"
"578","CD80","CTLA4",8.7375,6,105.220430107527,3,"checkpoint"
"577","CD80","CTLA4",8.7375,6,104.937172774869,4,"checkpoint"
"576","CD80","CTLA4",8.7375,6,104.085201793722,5,"checkpoint"
"415","TNFSF4","TRAF2",16.768156424581,1,54.21875,6,"checkpoint"
"536","CD86","CD28",14.7847533632287,5,61.0627802690583,5,"checkpoint"
"459","CD274","PDCD1",11.9623655913978,3,75.3177083333333,2,"checkpoint"
"484","PDCD1LG2","PDCD1",9.10313901345291,5,98.9413407821229,1,"checkpoint"
"158","BTLA","TNFRSF14",18.6439790575916,4,47.989247311828,3,"checkpoint"
"689","TNFRSF14","BTLA",47.989247311828,3,18.6439790575916,4,"checkpoint"
"475","CD274","PDCD1",11.5111731843575,1,75.3177083333333,2,"checkpoint"
"66","BTLA","CD79A",66.8571428571429,8,12.8630952380952,7,"checkpoint"
"623","CD86","CTLA4",5.16145833333333,2,164.2875,6,"checkpoint"
"622","CD86","CTLA4",5.16145833333333,2,162.494047619048,7,"checkpoint"
"284","CD70","CD27",7.13128491620112,1,117.555865921788,1,"checkpoint"
"173","BTLA","TNFRSF14",9.11458333333333,2,91.8115183246073,4,"checkpoint"
"683","TNFRSF14","BTLA",91.8115183246073,4,9.11458333333333,2,"checkpoint"
"178","BTLA","TNFRSF14",7.69832402234637,1,106.642857142857,7,"checkpoint"
"660","TNFRSF14","BTLA",106.642857142857,7,7.69832402234637,1,"checkpoint"
"109","BTLA","CD79A",9.11458333333333,2,87,6,"checkpoint"
"535","CD86","CD28",14.7847533632287,5,53.46875,6,"checkpoint"
"539","CD86","CD28",14.7847533632287,5,52.546875,2,"checkpoint"
"548","CD86","CD28",10.1559139784946,3,76.3351955307263,1,"checkpoint"
"526","CD86","CD28",19.65625,6,38.9107142857143,7,"checkpoint"
"76","BTLA","CD79A",84.0178571428571,7,8.98952879581152,4,"checkpoint"
"604","CD86","CTLA4",19.65625,6,38.2513966480447,1,"checkpoint"
"621","CD86","CTLA4",5.16145833333333,2,144.202380952381,8,"checkpoint"
"79","BTLA","CD79A",38.91875,6,18.9464285714286,8,"checkpoint"
"354","TNFSF4","TNFRSF4",86.3763440860215,3,8.47120418848167,4,"checkpoint"
"778","TNFRSF4","TNFSF4",8.47120418848167,4,86.3763440860215,3,"checkpoint"
"353","TNFSF4","TNFRSF4",85.7696335078534,4,8.47120418848167,4,"checkpoint"
"777","TNFRSF4","TNFSF4",8.47120418848167,4,85.7696335078534,4,"checkpoint"
"210","CD40LG","TRAF3",16.425,6,43.7043010752688,3,"checkpoint"
"181","BTLA","TNFRSF14",7.69832402234637,1,91.8115183246073,4,"checkpoint"
"684","TNFRSF14","BTLA",91.8115183246073,4,7.69832402234637,1,"checkpoint"
"172","BTLA","TNFRSF14",9.11458333333333,2,77.2286995515695,5,"checkpoint"
"675","TNFRSF14","BTLA",77.2286995515695,5,9.11458333333333,2,"checkpoint"
"416","TNFSF4","TRAF2",16.768156424581,1,41.322869955157,5,"checkpoint"
"162","BTLA","TNFRSF14",6.47849462365591,3,106.642857142857,7,"checkpoint"
"658","TNFRSF14","BTLA",106.642857142857,7,6.47849462365591,3,"checkpoint"
"208","CD40LG","TRAF3",16.425,6,41.9865470852018,5,"checkpoint"
"483","PDCD1LG2","PDCD1",9.10313901345291,5,75.3177083333333,2,"checkpoint"
"116","BTLA","CD79A",7.69832402234637,1,87,6,"checkpoint"
"150","BTLA","TNFRSF14",13.9282511210762,5,47.989247311828,3,"checkpoint"
"688","TNFRSF14","BTLA",47.989247311828,3,13.9282511210762,5,"checkpoint"
"508","CD80","CD28",8.7375,6,76.3351955307263,1,"checkpoint"
"546","CD86","CD28",10.1559139784946,3,65.3064516129032,3,"checkpoint"
"169","BTLA","TNFRSF14",9.11458333333333,2,71.6130952380952,8,"checkpoint"
"651","TNFRSF14","BTLA",71.6130952380952,8,9.11458333333333,2,"checkpoint"
"417","TNFSF4","TRAF2",16.768156424581,1,38.4712041884817,4,"checkpoint"
"525","CD86","CD28",19.65625,6,32.5,8,"checkpoint"
"468","CD274","PDCD1",6.44791666666667,2,98.9413407821229,1,"checkpoint"
"84","BTLA","CD79A",38.91875,6,16.3548387096774,3,"checkpoint"
"619","CD86","CTLA4",10.1559139784946,3,62.3125,2,"checkpoint"
"639","NCR3LG1","TMIGD2",13.5535714285714,8,45.85,6,"checkpoint"
"544","CD86","CD28",10.1559139784946,3,61.0627802690583,5,"checkpoint"
"175","BTLA","TNFRSF14",9.11458333333333,2,67.6354166666667,2,"checkpoint"
"699","TNFRSF14","BTLA",67.6354166666667,2,9.11458333333333,2,"checkpoint"
"176","BTLA","TNFRSF14",9.11458333333333,2,66.2486033519553,1,"checkpoint"
"707","TNFRSF14","BTLA",66.2486033519553,1,9.11458333333333,2,"checkpoint"
"171","BTLA","TNFRSF14",9.11458333333333,2,66.08125,6,"checkpoint"
"667","TNFRSF14","BTLA",66.08125,6,9.11458333333333,2,"checkpoint"
"69","BTLA","CD79A",66.8571428571429,8,8.98952879581152,4,"checkpoint"
"165","BTLA","TNFRSF14",6.47849462365591,3,91.8115183246073,4,"checkpoint"
"682","TNFRSF14","BTLA",91.8115183246073,4,6.47849462365591,3,"checkpoint"
"180","BTLA","TNFRSF14",7.69832402234637,1,77.2286995515695,5,"checkpoint"
"676","TNFRSF14","BTLA",77.2286995515695,5,7.69832402234637,1,"checkpoint"
"534","CD86","CD28",14.7847533632287,5,38.9107142857143,7,"checkpoint"
"506","CD80","CD28",8.7375,6,65.3064516129032,3,"checkpoint"
"612","CD86","CTLA4",14.7847533632287,5,38.2513966480447,1,"checkpoint"
"102","BTLA","CD79A",6.47849462365591,3,87,6,"checkpoint"
"418","TNFSF4","TRAF2",16.768156424581,1,33.6021505376344,3,"checkpoint"
"177","BTLA","TNFRSF14",7.69832402234637,1,71.6130952380952,8,"checkpoint"
"652","TNFRSF14","BTLA",71.6130952380952,8,7.69832402234637,1,"checkpoint"
"579","CD80","CTLA4",8.7375,6,62.3125,2,"checkpoint"
"626","CD86","CTLA4",5.16145833333333,2,105.220430107527,3,"checkpoint"
"543","CD86","CD28",10.1559139784946,3,53.46875,6,"checkpoint"
"625","CD86","CTLA4",5.16145833333333,2,104.937172774869,4,"checkpoint"
"624","CD86","CTLA4",5.16145833333333,2,104.085201793722,5,"checkpoint"
"547","CD86","CD28",10.1559139784946,3,52.546875,2,"checkpoint"
"504","CD80","CD28",8.7375,6,61.0627802690583,5,"checkpoint"
"209","CD40LG","TRAF3",16.425,6,32.3664921465969,4,"checkpoint"
"529","CD86","CD28",19.65625,6,26.9424083769633,4,"checkpoint"
"183","BTLA","TNFRSF14",7.69832402234637,1,67.6354166666667,2,"checkpoint"
"700","TNFRSF14","BTLA",67.6354166666667,2,7.69832402234637,1,"checkpoint"
"184","BTLA","TNFRSF14",7.69832402234637,1,66.2486033519553,1,"checkpoint"
"708","TNFRSF14","BTLA",66.2486033519553,1,7.69832402234637,1,"checkpoint"
"179","BTLA","TNFRSF14",7.69832402234637,1,66.08125,6,"checkpoint"
