"","ligand","receptor","cell_from_mean_exprs","cell_from","cell_to_mean_exprs","cell_to","comm_type"
"174","TGFB1","CD109",9.33870967741935,3,7.01047120418848,4,"growth factor"
"175","TGFB1","CD109",9.33870967741935,3,6.6505376344086,3,"growth factor"
"239","TGFB1","ENG",6.09375,2,10.0732984293194,4,"growth factor"
"242","TGFB1","ENG",6.09375,2,9.94134078212291,1,"growth factor"
"168","TGFB1","CD109",6.63874345549738,4,8.775,6,"growth factor"
"262","TGFB1","ITGAV",9.33870967741935,3,6.2258064516129,3,"growth factor"
"176","TGFB1","CD109",9.33870967741935,3,6.09217877094972,1,"growth factor"
"105","PDGFA","PDGFRB",6.84375,2,8.24375,6,"growth factor"
"178","TGFB1","CD109",6.09375,2,8.775,6,"growth factor"
"163","PDGFD","PDGFRB",6.359375,2,8.24375,6,"growth factor"
"169","TGFB1","CD109",6.63874345549738,4,7.01047120418848,4,"growth factor"
"170","TGFB1","CD109",6.63874345549738,4,6.6505376344086,3,"growth factor"
"179","TGFB1","CD109",6.09375,2,7.01047120418848,4,"growth factor"
"255","TGFB1","ITGAV",6.63874345549738,4,6.2258064516129,3,"growth factor"
"180","TGFB1","CD109",6.09375,2,6.6505376344086,3,"growth factor"
"171","TGFB1","CD109",6.63874345549738,4,6.09217877094972,1,"growth factor"
"269","TGFB1","ITGAV",6.09375,2,6.2258064516129,3,"growth factor"
"181","TGFB1","CD109",6.09375,2,6.09217877094972,1,"growth factor"
